"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dm_00003878",61.5402139505606,0.542188981327112,0.244618088775972,2.21647133308962,0.0266592390660907,0.0390946795762082
"Dm_00003879",19640.8405390952,0.247210552443422,0.0218573881715316,11.3101597731335,1.16876504267136e-29,5.4975244599727e-29
"Dm_00003880",873.216675776447,0.207028182817378,0.064740495479601,3.1978158536431,0.00138472674206711,0.00236482362076391
"Dm_00003881",3777.52101136158,-0.005748033669795,0.0345159647254546,-0.166532609345147,0.867737822905367,0.893293488904303
"Dm_00003882",1904.90694338868,0.178089788064007,0.0484062711285868,3.67906438384662,0.000234091170641362,0.000429135858930355
"Dm_00003883",85.7510668633417,2.1121379371156,0.231878491690144,9.10881350711052,8.32878056233263e-20,3.09155988305374e-19
"Dm_00003884",0.304848130600972,-0.344893208060886,3.19505498765227,-0.107945938143091,0.914038576624807,NA
"Dm_00003885",255.972124519343,-1.63862652393207,0.120319196621595,-13.6189948897811,3.0878821059262e-42,1.81262984075682e-41
"Dm_00003886",1667.77644629959,-0.916586812860077,0.050559890365117,-18.1287341851608,1.89061225022796e-73,1.60496430918556e-72
"Dm_00003887",0.152067826048945,-1.31390051493522,4.0804728567969,-0.321997121668543,0.747454875066222,NA
"Dm_00003888",819.231099557563,0.0716368203725625,0.0653620438018062,1.09600031158424,0.273078638118006,0.330320082180387
"Dm_00003889",5938.91707441378,-1.22404689128905,0.0300631458128625,-40.7158618365663,0,0
"Dm_00003890",3.85758890902088,0.718156374227053,0.925389104995473,0.776058817150831,0.43771425838566,0.500271663644549
"Dm_00003891",273.295462435471,-3.69209399713501,0.157566536173157,-23.431967769334,2.01886164244593e-121,2.46986422036848e-120
"Dm_00003892",346.247567667618,-0.409690151625786,0.100652728218604,-4.07033330220316,4.69459234850848e-05,9.11132404618953e-05
"Dm_00003893",55.8477704672838,-4.22064534757953,0.386859409497397,-10.9100237553041,1.03229370105985e-27,4.66105073486447e-27
"Dm_00003894",922.356714823347,-0.552122957506386,0.0658018416514324,-8.3906915619643,4.83290750102487e-17,1.65142399810805e-16
"Dm_00003895",3848.85159198514,0.296375609002543,0.0419775888943409,7.06032949506773,1.66108252556323e-12,4.82057355351158e-12
"Dm_00003896",569.16186335298,2.24478925162727,0.0910501418430646,24.6544289353928,3.29888004619168e-134,4.38444173581057e-133
"Dm_00003897",4.46726185915991,2.43257994166684,1.0264226307595,2.36995938005268,0.0177900396270589,0.0267905339838319
"Dm_00003898",1.96003906371162,0.067432585820471,2.5102960097038,0.0268624040988806,0.978569479871499,0.983857050571986
"Dm_00003899",883.907445426356,1.58834898116674,0.0688707675013416,23.0627454694156,1.09577331471137e-117,1.31640875240325e-116
"Dm_00003900",0.548746328494436,-1.27919059220517,2.47938385092485,-0.515930839723754,0.605902713739289,NA
"Dm_00003901",360.675018242363,-0.523581126670962,0.098564211123342,-5.31208154261753,1.08380084542086e-07,2.49718950733257e-07
"Dm_00003902",32.3213401336618,0.745840204683324,0.328094765183452,2.27324628073932,0.0230113427572281,0.0340730551310413
"Dm_00003903",0,NA,NA,NA,NA,NA
"Dm_00003904",0,NA,NA,NA,NA,NA
